id,index,host_is_superhost,host_total_listings_count,host_identity_verified,colonia,alcaldía,código_postal,latitude,longitude,accommodates,bathrooms,bedrooms,beds,precio,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,first_review,last_review,review_scores_rating,insta_book,flexible_cancel,Tipo Listado,pets_allowed,gym,breakfast,washer,dryer,parking,elevator,pool,smoking_allowed,hot_tub,ad_duration,Entire home/apt,ln_price,nombre_x,pi_dist,nombre_y,metro_distance
23809133,80810,0,3,1,San Diego Churubusco/Country Club,Coyoacán,4210,19.35046,-99.14383,1,1,1,1,209,0,0,1,0,17,19/3/18,24/6/19,100,0,1,1,0,0,0,1,0,1,0,0,1,0,15.93461878,0,5.342334252,Museo Frida Kahlo,2.000216566,General Anaya,0.320405322
23810066,80820,0,4,1,,Gustavo A. Madero,7969,19.45249,-99.09268,2,1,1,1,209,0,0,1,0,80,18/3/18,30/6/19,92,1,0,1,0,0,0,0,1,1,0,0,0,0,15.93461878,0,5.342334252,Murales de Diego Rivera en la Secretaría de Educación Pública,4.46078431,Aragón,0.382950748
23811418,80877,1,10,0,Polanco,Miguel Hidalgo,11560,19.43031,-99.18595,2,1,1,1,1290,3794,190,1,0,81,8/4/18,12/7/19,98,1,0,1,0,0,0,0,1,1,0,0,0,0,15.24466621,0,7.162397497,Lago del Bosque de Chapultepec,1.079598992,Polanco,0.611502427
23812297,80894,1,4,0,Condesa,Cuauhtémoc,6140,19.4175,-99.17857,2,1,1,1,1233,0,285,1,0,84,18/3/18,4/7/19,97,1,1,1,0,0,0,0,1,1,0,0,0,0,15.93461878,1,7.117205503,La Condesa,0.402908171,Chapultepec,0.370099468
23813391,80925,0,1,1,Polanco,Miguel Hidalgo,11529,19.44462,-99.20376,2,1,1,1,683,0,200,1,0,30,20/3/18,24/2/19,93,1,0,0,0,0,0,0,0,0,1,0,0,0,15.86890901,0,6.52649486,Polanco,1.464975093,San Joaquín,1.277334444
23813891,80954,1,2,0,Roma Sur,Cuauhtémoc,6760,19.41094,-99.16209,3,1.5,1,1,588,0,150,1,0,32,2/2/19,6/7/19,98,1,0,1,1,0,0,0,1,0,0,0,1,0,5.38820099,1,6.376726948,La Condesa,1.614483733,Centro Médico_1,0.806826155
23814391,80991,0,4,0,Colonia Cuauhtémoc,Cuauhtémoc,6500,19.42945,-99.1655,11,2.5,4,8,835,5000,500,1,100,58,26/3/18,30/6/19,91,1,0,1,0,0,0,1,1,1,1,0,0,0,15.67177971,1,6.727431725,Monumento a los Héroes de la Independencia,0.355312734,Insurgentes_1_5,0.691917245
23822684,81021,1,3,0,San Rafael,Miguel Hidalgo,11370,19.44199,-99.17119,2,1,1,2,228,0,0,1,0,20,2/5/18,31/5/19,96,0,1,1,0,0,0,0,0,1,0,0,0,0,14.456149,0,5.429345629,Monumento a los Héroes de la Independencia,1.699926234,Normal,0.48840957
23825838,81032,1,1,0,Portales,Benito Juárez,3300,19.37162,-99.14716,6,1,2,2,436,0,152,2,190,65,2/4/18,1/7/19,99,1,0,0,0,0,0,0,1,1,0,0,1,0,15.44179552,1,6.077642243,Cineteca Nacional,2.219010029,Portales,0.647801054
23826363,81064,0,2,0,,Gustavo A. Madero,7708,19.51139,-99.14139,4,1.5,1,1,609,0,0,1,0,3,11/11/18,5/7/19,87,1,0,1,0,0,0,1,0,1,0,0,1,0,8.148011253,0,6.411818268,Basílica de la Virgen Guadalupe,3.824629473,Politécnico,1.488491523
